top - 14:26:21 up  4:36,  1 user,  load average: 1,52, 1,15, 1,08
Tasks: 211 total,   1 running, 210 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9,1 us,  3,0 sy,  0,0 ni, 83,3 id,  3,0 wa,  1,5 hi,  0,0 si,  0,0 st
MiB Mem :   2993,8 total,    153,1 free,   1905,0 used,    935,7 buff/cache
MiB Swap:   3072,0 total,   3071,7 free,      0,3 used.    755,5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    510 root      20   0  239692   8120   6360 S   0,0   0,3   0:00.25 account+
    514 superad+  20   0  156216   2348     20 S   0,0   0,1   0:00.00 (sd-pam)
    515 user      20   0  156216   2464     20 S   0,0   0,1   0:00.00 (sd-pam)
    530 polkitd   20   0 1666368  22296  15964 S   0,0   0,7   0:00.74 polkitd
    533 colord    20   0  248716  13900   8820 S   0,0   0,5   0:00.18 colord
    536 root      20   0   26112  17572   2512 S   0,0   0,6   0:19.44 x2gocle+
    577 root      20   0   12368   5356   4760 S   0,0   0,2   0:00.95 vncagent
    585 root      20   0   37516  26740   3620 S   0,0   0,9   0:00.19 miniser+
    663 root      20   0  199220   8068   6608 S   0,0   0,3   0:00.03 lightdm
    691 superad+  20   0  282796  26996  18916 S   0,0   0,9   0:00.43 xfce4-s+
    695 superad+  20   0   11128   4648   3600 S   0,0   0,2   0:03.72 dbus-da+
    711 superad+  20   0  238196   7312   6268 S   0,0   0,2   0:00.05 gvfsd
    716 superad+  20   0  380932   5708   5040 S   0,0   0,2   0:00.00 gvfsd-f+
    724 superad+  20   0  306120   6232   5440 S   0,0   0,2   0:00.00 at-spi-+
    730 superad+  20   0   10668   4016   3596 S   0,0   0,1   0:01.29 dbus-da+
    732 superad+  20   0  231164   5808   4900 S   0,0   0,2   0:00.39 xfconfd
    738 superad+  20   0  163740   7332   6468 S   0,0   0,2   0:03.61 at-spi2+
    743 superad+  20   0    5796    452      0 S   0,0   0,0   0:00.00 ssh-age+
    746 superad+  20   0  156916   3472   3200 S   0,0   0,1   0:00.33 gpg-age+
    754 superad+  20   0   42976  14812  11880 S   0,0   0,5   0:01.28 vncserv+
    760 superad+  20   0  242496  26916  18044 S   0,0   0,9   0:02.60 xfsetti+
    761 superad+  20   0  286472  32384  23316 S   0,0   1,1   0:05.95 xfce4-p+
    766 superad+  20   0   50084  17876  15172 S   0,0   0,6   0:00.27 vncserv+
    771 superad+  20   0  698088  48828  34248 S   0,0   1,6   0:20.77 Thunar
    776 superad+  20   0  387200  55972  29904 S   0,0   1,8   0:01.93 xfdeskt+
    777 superad+  20   0  286084  35088  26088 S   0,0   1,1   0:01.66 panel-1+
    778 superad+  20   0  253772  41152  28016 S   0,0   1,3   0:03.34 panel-2+
    779 superad+  20   0  247228  36300  27912 S   0,0   1,2   0:00.64 panel-1+
    780 superad+  20   0  515096  39812  30484 S   0,0   1,3   0:12.45 panel-1+
    782 superad+  20   0  206268  26424  18684 S   0,0   0,9   2:20.20 panel-1+
    783 superad+  20   0  207000  28828  21084 S   0,0   0,9   0:47.58 panel-1+
    786 superad+  20   0  208460  30120  22352 S   0,0   1,0   0:01.04 panel-2+
    805 superad+  20   0  268100  16956  14736 S   0,0   0,6   0:00.10 xfce4-n+
    810 superad+  20   0  398496  39652  30544 S   0,0   1,3   0:00.28 nm-appl+
    813 superad+  20   0   65108  34940  18120 S   0,0   1,1   0:00.65 applet.+
    818 superad+  20   0  592800  39660  30104 S   0,0   1,3   0:00.60 polkit-+
    823 superad+  20   0  281744  23076  15484 S   0,0   0,8   0:00.23 light-l+
    827 superad+  20   0   16992   4916   4196 S   0,0   0,2   0:01.51 xscreen+
    836 superad+  20   0  157068   5396   4784 S   0,0   0,2   0:00.00 dconf-s+
    838 superad+  20   0  206664  24716  16768 S   0,0   0,8   0:00.84 xfce4-p+
    846 root      20   0  254768   9780   8312 S   0,0   0,3   0:01.10 upowerd
    886 superad+  20   0  351164  11428   9692 S   0,0   0,4   0:00.13 gvfs-ud+
    889 root      20   0  404012  13004  10308 S   0,0   0,4   0:02.69 udisksd
    905 superad+  20   0  234252   5556   4912 S   0,0   0,2   0:00.02 gvfs-mt+
    909 superad+  20   0  238664   7184   6236 S   0,0   0,2   0:00.02 gvfs-gp+
    914 superad+  20   0  319292   8456   7420 S   0,0   0,3   0:00.01 gvfs-af+
    925 superad+  20   0  312592   7668   6384 S   0,0   0,3   0:00.07 gvfsd-t+
    934 superad+  20   0  160920   6248   5428 S   0,0   0,2   0:00.26 gvfsd-m+
   1237 superad+   9 -11  955500  11868   8396 S   0,0   0,4   1:26.12 pulseau+
   1238 rtkit     21   1  154712   2900   2668 S   0,0   0,1   0:00.11 rtkit-d+
   1245 superad+  20   0  243316   6856   6004 S   0,0   0,2   0:00.01 gsettin+
   1307 root      20   0   86072  23952  19316 S   0,0   0,8   0:00.56 httpd
   1308 http      20   0  119760  11824   6872 S   0,0   0,4   0:00.03 httpd
   1309 http      20   0  119760  11836   6868 S   0,0   0,4   0:00.01 httpd
   1310 http      20   0  119768  11832   6868 S   0,0   0,4   0:00.02 httpd
   1311 http      20   0  119624  11312   6400 S   0,0   0,4   0:00.00 httpd
   1312 http      20   0  119768  11388   6428 S   0,0   0,4   0:00.01 httpd
   1371 root      20   0   83224  20552  16472 S   0,0   0,7   0:00.59 php-fpm
   1372 http      20   0   84052  13068   7988 S   0,0   0,4   0:00.25 php-fpm
   1373 http      20   0   84052  12612   7864 S   0,0   0,4   0:00.25 php-fpm
   1383 superad+  20   0 1111064 319952 153792 S   0,0  10,4   5:02.02 chromium
   1391 superad+  20   0  346248  95680  84104 S   0,0   3,1   0:00.12 chromium
   1393 superad+  20   0  346248  15356   3772 S   0,0   0,5   0:00.29 chromium
   1411 superad+  20   0  595636 201584 169148 S   0,0   6,6   4:44.42 chromium
   1416 superad+  20   0  476244 142660 100764 S   0,0   4,7   0:44.74 chromium
   1455 superad+  20   0  601248  97200  73956 S   0,0   3,2   0:01.10 chromium
   1457 superad+  20   0 1992636 310332  75840 S   0,0  10,1   0:49.53 chromium
   1472 superad+  20   0  776636 207840  97960 S   0,0   6,8   2:46.19 chromium
   1488 superad+  20   0  822672 134196  77108 S   0,0   4,4   0:12.35 chromium
   1516 superad+  20   0  599712  94248  72908 S   0,0   3,1   0:00.48 chromium
   1526 superad+  20   0  621320 113828  82444 S   0,0   3,7   0:07.45 chromium
   1545 superad+  20   0  703456 159484 103276 S   0,0   5,2   1:57.36 chromium
   1567 superad+  20   0  611484 106508  76684 S   0,0   3,5   0:00.55 chromium
   1599 superad+  20   0  533136  42428  27040 S   0,0   1,4   0:02.38 chromium
   1781 http      20   0  119768  11884   6924 S   0,0   0,4   0:00.01 httpd
   9553 superad+  20   0 1057236 229584  56948 S   0,0   7,5   1:19.80 sublime+
   9565 superad+  20   0  316736  58856  18048 S   0,0   1,9   0:05.55 plugin_+
  16621 superad+  20   0  695376  50356  36340 S   0,0   1,6   0:14.61 xfce4-t+
  16691 root      20   0       0      0      0 I   0,0   0,0   4:28.07 kworker+
  21205 superad+  20   0  761496 208648 107048 S   0,0   6,8   1:01.94 chromium
  21714 superad+  20   0  656184 124220  85364 S   0,0   4,1   0:01.95 chromium
  21828 superad+  20   0  619164 116540  82504 S   0,0   3,8   0:00.95 chromium
  21839 superad+  20   0  652208 125776  87404 S   0,0   4,1   0:01.63 chromium
  21950 root      20   0       0      0      0 I   0,0   0,0   0:04.18 kworker+
  22876 superad+  20   0  618316 111328  75788 S   0,0   3,6   0:00.72 chromium
  22897 superad+  20   0  634072 122120  85856 S   0,0   4,0   0:01.46 chromium
  26775 root      20   0       0      0      0 I   0,0   0,0   2:16.28 kworker+
  28578 superad+  20   0  921228 101932  89640 S   0,0   3,3   0:24.56 chromium
  29719 http      20   0  119760  11872   6924 S   0,0   0,4   0:00.00 httpd
  29720 http      20   0  119624  10348   5488 S   0,0   0,3   0:00.00 httpd
  29721 http      20   0  119768  11888   6924 S   0,0   0,4   0:00.00 httpd
  29722 http      20   0  119768  11888   6924 S   0,0   0,4   0:00.01 httpd
  30564 superad+  20   0    7864   4644   3604 S   0,0   0,2   0:00.04 bash
  31759 root      20   0       0      0      0 I   0,0   0,0   0:00.48 kworker+
  32905 root      20   0       0      0      0 I   0,0   0,0   0:00.24 kworker+
  33419 superad+  20   0  656692 155332  94576 S   0,0   5,1   0:17.01 chromium
  33846 superad+  20   0  649080 133536  91032 S   0,0   4,4   0:06.33 chromium
  34304 root      20   0       0      0      0 I   0,0   0,0   0:00.85 kworker+
  34334 superad+  20   0  609204 102204  72944 S   0,0   3,3   0:00.62 chromium
  34384 superad+  20   0  689876 146192  87284 S   0,0   4,8   0:09.96 chromium
  34536 superad+  20   0  641876 119624  81372 S   0,0   3,9   0:06.03 chromium
  35533 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  35567 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  36302 root      20   0       0      0      0 I   0,0   0,0   0:00.25 kworker+
  36692 root      20   0       0      0      0 I   0,0   0,0   0:00.26 kworker+
  37058 root      20   0       0      0      0 I   0,0   0,0   0:00.20 kworker+
  37311 root      20   0       0      0      0 I   0,0   0,0   0:00.05 kworker+
  37440 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  37446 superad+  20   0  725708 215312 152800 S   0,0   7,0   0:03.77 chromium
  37466 superad+  20   0  584904  75260  59304 S   0,0   2,5   0:00.05 chromium
  37484 root      20   0       0      0      0 I   0,0   0,0   0:00.00 kworker+
  37503 superad+  20   0   13296   3800   3176 R   0,0   0,1   0:00.01 top
